,Unnamed: 0,Date,Country_Region,Province_State,GDP,Urbanization,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
3931,4045,2/28/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,1.0,42.0,11.4,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3932,4046,3/13/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,12.7,77.0,7.3,4.32,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3933,4047,3/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,8.5,37.0,14.7,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3934,4048,3/7/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,5.0,54.0,20.2,1.02,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3935,4049,2/21/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,-1.9,36.0,18.2,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3936,4050,2/20/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.2589,-74.124,-0.7,52.0,11.0,0.0,5.881081081081081,59.270270270270274,14.616216216216214,1.8397297297297293,3/10/2020,1.0,0.0
3937,4051,3/2/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.5726,-74.4927,7.5,56.0,7.6,0.0,5.2105263157894735,58.31578947368421,7.5578947368421066,1.5036842105263155,3/10/2020,1.0,0.0
3938,4052,3/20/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,12.9,81.0,12.0,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3939,4053,3/17/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.7453,-74.0535,8.3,80.0,9.8,0.25,6.8578947368421055,57.55263157894736,12.35,0.1794736842105263,2/25/2020,1.0,0.0
3940,4054,3/18/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,9.1,51.0,12.1,0.51,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
