,Case_Type,Cases,Country_Region,Date,Difference,GDP,Lat,Latest_Date,Long,Prep_Flow_Runtime,Province_State,Unnamed: 0,Urbanization,avg_RH,avg_m_RH,avg_m_precip,avg_m_tmp,avg_m_wind,avg_precip,avg_tmp,avg_wind,growth_factor,max_cases,max_date
8349,Deaths,0,Cruise Ships,2/20/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8615,,65.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.9,7.0,1.0,1.0,3/22/2020
8350,Deaths,0,Cruise Ships,3/11/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8616,,69.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.0,15.7,1.0,1.0,3/22/2020
8351,Deaths,0,Cruise Ships,3/4/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8617,,67.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,14.9,8.3,1.0,1.0,3/22/2020
8352,Deaths,0,Cruise Ships,3/14/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8618,,79.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,11.68,10.6,15.3,1.0,1.0,3/22/2020
8353,Deaths,0,Cruise Ships,3/6/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8619,,71.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,12.5,16.4,1.0,1.0,3/22/2020
8354,Deaths,0,Cruise Ships,2/27/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8620,,63.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.5,5.0,1.0,1.0,3/22/2020
8355,Deaths,0,Cruise Ships,3/4/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8621,,67.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,14.9,8.3,1.0,1.0,3/22/2020
8356,Deaths,0,Cruise Ships,2/25/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8622,,50.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.4,7.0,1.0,1.0,3/22/2020
8357,Deaths,0,Cruise Ships,2/23/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8623,,75.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.9,27.0,1.0,1.0,3/22/2020
8358,Deaths,0,Cruise Ships,2/18/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8624,,48.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,13.1,13.0,1.0,1.0,3/22/2020
8359,Deaths,0,Cruise Ships,3/16/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8625,,70.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,4.06,9.3,15.4,1.0,1.0,3/22/2020
8360,Deaths,0,Cruise Ships,2/24/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8626,,73.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,11.6,10.8,1.0,1.0,3/22/2020
8361,Deaths,0,Cruise Ships,3/7/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8627,,77.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,2.03,10.7,11.3,1.0,1.0,3/22/2020
8362,Deaths,0,Cruise Ships,3/3/2020,0,,37.6489,3/22/2020,-122.6655,3/23/2020 8:00:09 AM,Grand Princess,8628,,56.0,66.65789473684211,0.5944736842105264,12.713157894736836,13.518421052631581,0.0,15.7,10.4,1.0,1.0,3/22/2020
