,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
94693,3/15/2020,Egypt,0,Deaths,2,0,3/23/2020 8:00:09 AM,3/22/2020,26.0,30.0,19.6,54.0,9.1,0.0,16.672972972972975,52.67567567567568,17.43783783783784,0.0,3/22/2020,1.9343364202676694,14.0
94697,3/6/2020,Central African Republic,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,6.6111,20.9394,28.3,69.0,8.9,0.0,28.718421052631577,63.5,6.734210526315789,0.0,2/14/2020,0.0,0.0
94701,3/9/2020,Cambodia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,11.55,104.9167,31.7,64.0,11.4,0.0,30.089473684210528,58.28947368421053,11.797368421052632,0.0,3/5/2020,0.0,0.0
94705,2/27/2020,Argentina,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-38.4161,-63.6167,23.4,47.0,8.7,0.0,22.486842105263158,44.0,9.486842105263156,0.0,3/22/2020,1.4142135623730951,4.0
94713,3/18/2020,Dominica,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,15.415,-61.371,24.1,81.0,7.6,0.0,24.63947368421053,77.5,11.515789473684213,0.0,2/18/2020,0.0,0.0
94725,3/9/2020,El Salvador,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.7942,-88.8965,30.9,48.0,15.5,0.0,29.2095238095238,55.61904761904762,12.757142857142858,0.0,3/13/2020,0.0,0.0
94729,2/27/2020,Ghana,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,7.9465,-1.0232,29.9,37.0,0.0,0.0,30.055263157894736,45.44736842105263,3.744736842105263,0.0,3/21/2020,1.0,1.0
94733,3/16/2020,Mauritania,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,21.0079,10.9408,17.1,14.0,13.1,0.0,17.284210526315785,19.526315789473685,11.03421052631579,0.0,3/10/2020,0.0,0.0
94737,2/18/2020,Saudi Arabia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,24.0,45.0,25.5,13.0,28.7,0.0,22.20789473684211,22.394736842105264,20.310526315789474,0.0,3/16/2020,0.0,0.0
94749,2/25/2020,Tunisia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,34.0,9.0,15.6,34.0,14.8,0.0,14.784210526315789,46.526315789473685,16.957894736842103,0.0,3/22/2020,1.3160740129524924,3.0
94773,2/23/2020,Peru,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-9.19,-75.0152,25.8,80.0,8.4,0.0,26.70263157894737,82.76315789473684,6.760526315789474,0.0,3/22/2020,1.4953487812212205,5.0
94777,2/26/2020,Somalia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,5.1521,46.1996,29.4,66.0,25.5,0.0,29.678947368421053,63.63157894736842,23.044736842105262,0.0,2/28/2020,0.0,0.0
