,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
2,03/11/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,18.6,75,6.6,0.25,14.91315789,48.07894737,8.573684211,0.681578947,03/11/2020,0,0
6,2/15/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.9,47,1.7,0,14.91315789,48.07894737,8.573684211,0.681578947,03/08/2020,1.189207115,2
14,3/17/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,16.7,42,7.7,0,14.91315789,48.07894737,8.573684211,0.681578947,03/11/2020,0,0
18,03/03/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.9,51,13.8,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
26,3/17/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,18.2,53,9.8,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
30,2/25/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,11.4,48,12.8,0,14.91315789,48.07894737,8.573684211,0.681578947,03/08/2020,1.189207115,2
38,03/01/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,14.9,50,10.6,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
46,03/10/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,18.6,50,7.2,2.03,14.91315789,48.07894737,8.573684211,0.681578947,03/11/2020,0,0
50,2/16/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,12.6,43,3,0,14.91315789,48.07894737,8.573684211,0.681578947,03/11/2020,0,0
54,03/04/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.4,56,7.3,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
62,3/20/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.0575,-111.6661,13,55,7.9,0,14.91315789,48.07894737,8.573684211,0.681578947,03/11/2020,0,0
70,2/18/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,16,51,4.2,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
74,03/04/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,13.4,54,6.8,0,14.91315789,48.07894737,8.573684211,0.681578947,03/08/2020,1.189207115,2
78,2/21/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,19,40,10.8,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
82,03/12/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,32.8162,-111.2845,17.4,75,13.7,0.25,14.91315789,48.07894737,8.573684211,0.681578947,03/08/2020,1.189207115,2
86,03/06/2020,US,Arizona,Confirmed,2,1,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,20.1,37,9.9,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
90,3/14/2020,US,Arizona,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,15.8,60,5.5,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
94,2/25/2020,US,Arizona,Confirmed,1,0,3/23/2020 8:00:09 AM,3/22/2020,33.2918,-112.4291,14.2,31,18.7,0,15.98157895,55.73684211,8.336842105,1.570526316,03/06/2020,1.189207115,2
